iter	Passed	Remaining
594	2166	1474
595	2170	1470
596	2173	1467
597	2177	1463
598	2180	1459
599	2183	1455
600	2185	1451
601	2188	1446
602	2191	1442
603	2194	1438
604	2197	1434
605	2200	1430
606	2203	1426
607	2206	1422
608	2209	1418
609	2212	1414
610	2216	1410
611	2219	1406
612	2221	1402
613	2225	1398
614	2227	1394
615	2230	1390
616	2233	1386
617	2236	1382
618	2240	1379
619	2243	1375
620	2246	1371
621	2249	1367
622	2252	1363
623	2256	1359
624	2259	1355
625	2262	1351
626	2265	1347
627	2269	1344
628	2273	1340
629	2276	1337
630	2280	1333
631	2284	1330
632	2287	1326
633	2291	1322
634	2294	1319
635	2297	1315
636	2301	1311
637	2304	1307
638	2308	1304
639	2312	1301
640	2316	1297
641	2320	1293
642	2323	1290
643	2327	1286
644	2331	1283
645	2335	1279
646	2338	1275
647	2341	1272
648	2345	1268
649	2348	1264
650	2352	1261
651	2356	1257
652	2359	1253
653	2363	1250
654	2367	1246
655	2370	1243
656	2373	1239
657	2377	1235
658	2380	1231
659	2384	1228
660	2387	1224
661	2390	1220
662	2393	1216
663	2396	1212
664	2400	1209
665	2403	1205
666	2406	1201
667	2409	1197
668	2412	1193
669	2415	1189
670	2418	1185
671	2421	1181
672	2424	1178
673	2427	1174
674	2430	1170
675	2433	1166
676	2436	1162
677	2439	1158
678	2442	1154
679	2445	1150
680	2448	1147
681	2451	1143
682	2454	1139
683	2458	1135
684	2461	1132
685	2465	1128
686	2468	1124
687	2471	1120
688	2474	1117
689	2477	1113
690	2481	1109
691	2483	1105
692	2487	1102
693	2491	1098
694	2494	1094
695	2497	1091
696	2500	1087
697	2504	1083
698	2508	1080
699	2510	1076
700	2514	1072
701	2518	1068
702	2521	1065
703	2525	1061
704	2528	1058
705	2531	1054
706	2535	1050
707	2538	1046
708	2541	1043
709	2546	1039
710	2550	1036
711	2553	1032
712	2557	1029
713	2559	1025
714	2562	1021
715	2566	1017
716	2569	1014
717	2572	1010
718	2575	1006
719	2578	1002
720	2581	998
721	2584	995
722	2587	991
723	2590	987
724	2593	983
725	2596	979
726	2598	975
727	2601	971
728	2604	968
729	2607	964
730	2610	960
731	2613	956
732	2616	953
733	2619	949
734	2622	945
735	2625	941
736	2628	938
737	2631	934
738	2634	930
739	2637	926
740	2640	923
741	2643	919
742	2646	915
743	2649	911
744	2653	908
745	2656	904
746	2660	900
747	2663	897
748	2667	893
749	2670	890
750	2673	886
751	2677	882
752	2680	879
753	2684	875
754	2687	872
755	2691	868
756	2695	865
757	2698	861
758	2702	858
759	2706	854
760	2709	851
761	2713	847
762	2716	843
763	2720	840
764	2723	836
765	2726	832
766	2729	829
767	2732	825
768	2736	822
769	2740	818
770	2743	814
771	2747	811
772	2750	807
773	2754	804
774	2757	800
775	2759	796
776	2762	792
777	2766	789
778	2769	785
779	2772	781
780	2775	778
781	2778	774
782	2782	771
783	2784	767
784	2788	763
785	2790	759
786	2793	756
787	2796	752
788	2799	748
789	2802	745
790	2805	741
791	2808	737
792	2811	734
793	2814	730
794	2817	726
795	2820	722
796	2823	719
797	2826	715
798	2829	711
799	2832	708
800	2836	704
801	2838	700
802	2842	697
803	2846	693
804	2850	690
805	2853	686
806	2855	682
807	2858	679
808	2863	676
809	2866	672
810	2870	668
811	2873	665
812	2877	661
813	2881	658
814	2885	654
815	2888	651
816	2892	647
817	2896	644
818	2899	640
819	2902	637
820	2906	633
821	2910	630
822	2914	626
823	2918	623
824	2921	619
825	2925	616
826	2929	612
827	2932	609
828	2936	605
829	2940	602
830	2943	598
831	2946	595
832	2949	591
833	2953	587
834	2956	584
835	2960	580
836	2963	577
837	2966	573
838	2969	569
839	2972	566
840	2975	562
841	2978	558
842	2981	555
843	2984	551
844	2987	547
845	2990	544
846	2993	540
847	2996	537
848	2999	533
849	3002	529
850	3005	526
851	3008	522
852	3011	518
853	3014	515
854	3017	511
855	3020	508
856	3023	504
857	3026	500
858	3030	497
859	3033	493
860	3037	490
861	3040	486
862	3043	483
863	3046	479
864	3050	476
865	3054	472
866	3057	468
867	3060	465
868	3064	461
869	3067	458
870	3071	454
871	3075	451
872	3078	447
873	3082	444
874	3085	440
875	3089	437
876	3092	433
877	3096	430
878	3100	426
879	3104	423
880	3108	419
881	3112	416
882	3115	412
883	3119	409
884	3122	405
885	3125	402
886	3129	398
887	3133	395
888	3136	391
889	3140	388
890	3143	384
891	3147	381
892	3150	377
893	3153	373
894	3156	370
895	3160	366
896	3163	363
897	3166	359
898	3169	356
899	3173	352
900	3176	349
901	3179	345
902	3182	341
903	3185	338
904	3188	334
905	3191	331
906	3194	327
907	3197	323
908	3201	320
909	3204	316
910	3206	313
911	3209	309
912	3212	306
913	3215	302
914	3218	299
915	3222	295
916	3225	291
917	3228	288
918	3232	284
919	3236	281
920	3239	277
921	3242	274
922	3245	270
923	3249	267
924	3253	263
925	3257	260
926	3261	256
927	3264	253
928	3269	249
929	3272	246
930	3276	242
931	3280	239
932	3284	235
933	3287	232
934	3291	228
935	3295	225
936	3299	221
937	3302	218
938	3306	214
939	3310	211
940	3314	207
941	3317	204
942	3321	200
943	3325	197
944	3328	193
945	3331	190
946	3334	186
947	3337	183
948	3340	179
949	3343	175
950	3347	172
951	3350	168
952	3353	165
953	3356	161
954	3359	158
955	3362	154
956	3365	151
957	3368	147
958	3371	144
959	3374	140
960	3377	137
961	3380	133
962	3383	130
963	3386	126
964	3389	122
965	3393	119
966	3396	115
967	3399	112
968	3401	108
969	3404	105
970	3407	101
971	3409	98
972	3412	94
973	3415	91
974	3418	87
975	3422	84
976	3425	80
977	3429	77
978	3432	73
979	3436	70
980	3439	66
981	3443	63
982	3446	59
983	3450	56
984	3454	52
985	3458	49
986	3461	45
987	3464	42
988	3468	38
989	3472	35
990	3475	31
991	3478	28
992	3482	24
993	3485	21
994	3489	17
995	3492	14
996	3496	10
997	3501	7
998	3504	3
999	3507	0
